incident_date,city,state,description,plan,citatation
10/3/2015,newark,nj,Worker struck and killed by forklift.,unknown,unknown
10/2/2015,newark,nj,Worker killed in fall from roof.,unknown,unknown
10/2/2015,webster,ca,Worker killed in vehicle collision.,unknown,unknown
10/2/2015,hermitage,tn,Worker fatally crushed by machine arm used to move rolls of wire.,unknown,unknown
10/1/2015,ontario,ca,Worker fatally crushed by machinery.,unknown,unknown
10/1/2015,atlanta,ga,Employee fatally shot by coworker.,unknown,unknown
10/1/2015,kevil,ky,Worker struck and killed by falling tree first day on the job.,unknown,unknown
10/1/2015,orange city,fl,Worker in aerial lift fatally crushed between lift basket and roof overhang.,unknown,unknown
10/1/2015,san fernando,ca,Worker killed in fall from roof.,unknown,unknown
9/30/2015,jamesburg,nj,Worker struck and killed by tractor trailer cab.,unknown,unknown
9/30/2015,houston,tx,Worker fatally crushed between spools of tubing and forklift.,unknown,unknown
9/29/2015,conyers,ga,Worker fatally shot by former employee.,unknown,unknown
9/29/2015,las vegas,nv,Worker electrocuted while servicing arcade vending machine.,unknown,unknown
9/28/2015,butler,pa,Worker killed in trench collapse.,unknown,unknown
9/28/2015,wilmington,nc,Workers electrocuted when excavator boom contacted power line. ,unknown,unknown
9/28/2015,baltimore,md,Worker struck and killed by trusses that fell off delivery truck.,unknown,unknown
9/28/2015,odenton,md,Worker killed in fall from ladder.,unknown,unknown
9/26/2015,naples,fl,Worker killed in fall from tie-beam.,unknown,unknown
9/26/2015,la belle,mo,Worker killed when ejected from company vehicle.,unknown,unknown
9/25/2015,schertz,tx,Worker installing decking struck and killed by lightning.  ,unknown,unknown
9/25/2015,ghent,ky,Worker fatally crushed between aerial lift bucket and steel beam.,unknown,unknown
9/24/2015,chicago,il,Worker struck and killed by collapsing roof.,unknown,unknown
9/24/2015,piscataway,nj,Worker struck and killed by collapsing roof.,unknown,unknown
9/24/2015,millersburg,oh,Worker killed in fall from forklift.,unknown,unknown
9/24/2015,greenfield,ok,Worker struck and killed by pin on oil and gas well drilling rig.,unknown,unknown
9/24/2015,avon park,fl,Worker struck and killed by tractor.,unknown,unknown
9/24/2015,chicago,il,Worker killed in fall from elevated platform.,unknown,unknown
9/24/2015,bealton,va,Worker struck and killed when chop saw kicked back.,unknown,unknown
9/23/2015,las vegas,nv,Worker struck and killed by trench plate.,unknown,unknown
9/23/2015,fairfield,pa,Worker killed by arc flash while working near electrical cabinet.,unknown,unknown
9/23/2015,swansea,il,Employee drowned after being pinned under water by mower.,unknown,unknown
9/23/2015,los angeles,ca,Worker killed in fall through ceiling.,unknown,unknown
9/23/2015,cocoa,fl,Worker trimming a tree killed in fall.,unknown,unknown
9/23/2015,adelanto,ca,Worker electrocuted while plugging in jack hammer.,unknown,unknown
9/23/2015,tucson,az,Scrap yard worker cutting bomb killed when primer exploded.,unknown,unknown
9/22/2015,cypress,tx,Worker electrocuted while installing light fixture.,unknown,unknown
9/22/2015,san rafael,ca,Worker killed in fall from deck.,unknown,unknown
9/21/2015,melville,ny,Worker struck and killed by garbage truck.,unknown,unknown
9/21/2015,superior,wi,Worker struck and killed by forklift delivering pallet of cement.  ,unknown,unknown
9/21/2015,riverdale,ga,Worker felling tree killed in fall.,unknown,unknown
9/21/2015,thermal,ca,Worker performing farm labor died of heat-stress.,unknown,unknown
9/21/2015,newark,nj,Worker struck and killed by two steel beams.,unknown,unknown
9/21/2015,antioch,tn,Worker struck and killed by hydraulic arm.,unknown,unknown
9/21/2015,chattanooga,tn,Worker killed in fall down hole.,unknown,unknown
9/19/2015,seattle,wa,Worker killed in fall from roof.,unknown,unknown
9/19/2015,pasadena,ca,Worker hit head on ground after being struck by a golf cart.,unknown,unknown
9/19/2015,oakland,ca,Worker performing highway work struck and killed by drunk driver.,unknown,unknown
9/18/2015,ashdown,ar,Worker struck and killed by train car.,unknown,unknown
9/17/2015,san antonio,tx,Worker electrocuted after contacting live wires.,unknown,unknown
9/17/2015,corona,ca,Worker installing home security system fatally shot.,unknown,unknown
9/17/2015,braintree,ma,Worker struck and killed by van.,unknown,unknown
9/17/2015,tacoma,wa,Worker washing windows killed in fall.,unknown,unknown
9/17/2015,jericho,vt,Worker died from heatstroke during training exercise.,unknown,unknown
9/16/2015,pasadena,tx,Worker killed in fall when scissor lift tipped over.,unknown,unknown
9/16/2015,long beach,ca,Worker struck and killed by truck.,unknown,unknown
9/16/2015,napa,ca,Worker suffered fatal head injury in fall.,unknown,unknown
9/16/2015,webberville,mi,Worker fatally engulfed when grain bin wall collapsed.,unknown,unknown
9/16/2015,manheim,pa,Worker fatally crushed under mower wheel.,unknown,unknown
9/16/2015,isom,ky,Worker fatally crushed by falling forklift carriage.,unknown,unknown
9/16/2015,bellingham,wa,Worker struck and killed by felled tree.,unknown,unknown
9/16/2015,houston,tx,Worker fatally stabbed by fellow employee.,unknown,unknown
9/16/2015,colts neck,nj,Worker killed in motor vehicle collision.,unknown,unknown
9/16/2015,waco,tx,Worker fatally crushed by boom arm.,unknown,unknown
9/16/2015,inc. harbinger,nc,Worker killed in fall from ladder.,unknown,unknown
9/16/2015,braddock,pa,Worker killed in fall from scaffold.,unknown,unknown
9/15/2015,miami,fl,Worker struck and killed by dump truck.,unknown,unknown
9/15/2015,paterson,nj,Worker installing drip edge along roof killed in fall.,unknown,unknown
9/14/2015,valmeyer,il,Worker struck and killed by felled tree.,unknown,unknown
9/14/2015,pompano beach,fl,Worker killed in fall from platform elevated by forklift.,unknown,unknown
9/14/2015,chicago,il,Worker killed in fall from roof.,unknown,unknown
9/13/2015,butterfield,mn,Worker fatally crushed between trailer and loading dock.,unknown,unknown
9/13/2015,tupelo,ms,Worker fatally crushed by grain elevator.,unknown,unknown
9/13/2015,gilbertsville,ky,Worker fatally shot by suspect.,unknown,unknown
9/12/2015,tulsa,ok,One worker killed and another hospitalized after fall from aerial lift.,unknown,unknown
9/12/2015,staunton,va,Worker replacing transmission towers killed in fall from boom bucket.,unknown,unknown
9/11/2015,davenport,ia,Worker inspecting banner on side of building killed in fall.,unknown,unknown
9/11/2015,schofield barracks,hi,Worker replacing light fixture killed in fall.,unknown,unknown
9/11/2015,carnesville,ga,Worker struck and killed by forklift.,unknown,unknown
9/10/2015,rolling meadows,il,Worker killed in fall from roof.,unknown,unknown
9/10/2015,saginaw,tx,Worker killed in fall from joist.,unknown,unknown
9/10/2015,houston,tx,Worker electrocuted while installing plumbing pipe in ceiling.,unknown,unknown
9/9/2015,eden,nc,Worker struck and killed by felled tree.,unknown,unknown
9/9/2015,tampa,fl,Worker milling asphalt next to highway struck and killed by dump truck.,unknown,unknown
9/9/2015,cookeville,tn,Worker struck and killed by tree being pulled by skidder.,unknown,unknown
9/9/2015,bangor,me,Worker struck and killed by vehicle gate.,unknown,unknown
9/9/2015,oshkosh,wi,Worker killed in fall while washing windows.,unknown,unknown
9/9/2015,seffner,fl,Worker electrocuted when bucket truck contacted live wires.,unknown,unknown
9/9/2015,tolleson,az,Worker died from heat stress-related illness.,unknown,unknown
9/8/2015,everett,pa,Worker electrocuted when truck crane contacted overhead power lines.,unknown,unknown
9/8/2015,kiln,ms,Worker struck and killed when elevated concrete floor collapsed.,unknown,unknown
9/8/2015,de forest,wi,Worker fatally crushed under 800 pound hay bale.,unknown,unknown
9/8/2015,bensenville,il,Worker killed in fall when scissor lift tipped over.,unknown,unknown
9/6/2015,fox,ok,Worker driving tanker truck killed in vehicle collision.,unknown,unknown
9/6/2015,prescott,ar,Worker driving semi truck killed in vehicle collision.,unknown,unknown
9/4/2015,taunton,ma,Worker struck and killed by steel.,unknown,unknown
9/4/2015,fennimore,wi,Worker killed in fall from ladder.,unknown,unknown
9/4/2015,elyria,oh,Worker killed in fall from roof.,unknown,unknown
9/3/2015,palacios,tx,Worker killed in vehicle collision.,unknown,unknown
9/3/2015,north wilkesboro,nc,Worker struck and killed by felled tree.,unknown,unknown
9/3/2015,brooklyn,ny,Worker struck and killed by collapsed wall.,unknown,unknown
9/2/2015,norridge,il,Employee electrocuted during attempt to energize HVAC unit. ,unknown,unknown
9/2/2015,east stroudsburg,pa,Worker killed in fall while performing tree trimming operations.,unknown,unknown
9/2/2015,brighton,co,Worker killed in fall from ladder.,unknown,unknown
9/2/2015,pelican,la,Worker fatally crushed between skitter and log loader.,unknown,unknown
9/2/2015,firebaugh,ca,Worker struck and killed by harvesting equipment.,unknown,unknown
9/1/2015,bellevue,wa,Worker drowned in bottom of excavation.,unknown,unknown
9/1/2015,jamul,ca,Worker killed in fall from hoist landing. ,unknown,unknown
9/1/2015,williston,nd,Worker struck and killed by roller.,unknown,unknown
9/1/2015,atlanta,ga,Worker electrocuted after falling from bucket truck and contacting  power line. ,unknown,unknown
9/1/2015,jamul,ca,Worker killed in fall from construction platform.,unknown,unknown
9/1/2015,chicago,il,Worker fatally engulfed by dirt from truck.   ,unknown,unknown
9/1/2015,washington,pa,Worker killed when compact tractor rolled over.,unknown,unknown
9/1/2015,palatine,il,Worker killed in fall from ladder.,unknown,unknown
9/1/2015,new york,ny,Worker killed in fall from scaffold.  ,unknown,unknown
9/1/2015,manor,tx,Worker electrocuted while leveling buidling foundation.,unknown,unknown
8/31/2015,lyons,ga,Worker struck and killed by wood that fell from scissor jack.,unknown,unknown
8/31/2015,humboldt,tn,Worker struck and killed by falling tree.,unknown,unknown
8/31/2015,danville,va,Worker killed after becoming caugt in machine rollers. ,unknown,unknown
8/31/2015,overland park,ks,Worker electrocuted when ladder contacted high voltage line.,unknown,unknown
8/31/2015,sizerock,ky,Worker killed when bulldozer overturned on slope.,unknown,unknown
8/31/2015,brownsville,tx,Worker killed in fall from water tower.,unknown,unknown
8/31/2015,clanton,al,Worker fatally crushed by railroad ties during inspection. ,unknown,unknown
8/31/2015,longmont,co,Worker killed in fall through opening in roof.,unknown,unknown
