id,incident_date,day_of_week,city,state,description,plan,citation
1,2009-06-23,tuesday  ,tampa,florida,"Victim was inside a building bundling material and became ill, possible heat stroke.",unknown,unknown
2,2009-06-30,tuesday  ,conroe,texas,Victim was on a scaffold doing repairs on an archway and the scaffold collapsed.,unknown,unknown
3,2009-07-06,monday   ,miami,florida,"Victim was conducting roofing work, and fell through a hole in the roof, 25 feet to the concrete floor below.",unknown,unknown
4,2009-07-09,thursday ,north platte,nebraska,Victim was climbing a ladder while servicing an air-conditioning unit and fell from the ladder.,unknown,unknown
5,2009-07-11,saturday ,greensburg,pennsylvania,"Employees were throwing away old files. They had a dumpster on the forks in the raised position. In bringing the dumpster down on the forks, the load became unstable. Victim stood on the rear of the forklift to act as a counterbalance. The dumpster fell off the trucs, causing forktruck to lunge forward and the victim to strike his head on the overhead guard, falling to the ground.",unknown,unknown
6,2009-07-11,saturday ,boulder,colorado,Fatality at a bookstore under construction.,unknown,unknown
7,2009-07-15,wednesday,raleigh,mississippi,"Victim was pressure testing a new metering station at a new pipeline construction project, when an explosion occurred.",unknown,unknown
8,2009-07-16,thursday ,marietta,georgia,Victim was standing on the side of the road and was struck by a car.,unknown,unknown
9,2009-07-18,saturday ,post,texas,"Victim was working on a pole replacing a transformer, 14,400KV, and was electrocuted.",unknown,unknown
10,2009-07-18,saturday ,de kalb,texas,Victim was installing coax cable hangers down the face of an existing tower and fell 60 to 100 feet.,unknown,unknown
11,2009-07-18,saturday ,wichita,kansas,Victim was on a roof preparing an estimate. He started to come down from the roof and the ladder became dislodged. Victim fell 12 feet to the concrete driveway.,unknown,unknown
12,2009-07-18,saturday ,elgin,nebraska,Victim was herding cattle for the feedlot from a horse. The horse stumbled and fell. Victim subsequently fell.,unknown,unknown
13,2009-07-20,monday   ,onconta,alabama,"Victim was in the process of assembling a transition box, while removing the brace the box collapsed, crushing him.",unknown,unknown
14,2009-07-21,tuesday  ,kibler,arkansas,Victim was installing an overhead garage door. He was using a truck-mounted generator/welder to generate power for his tools. He was found unresponsive in the bed of the truck. Victim was electrocuted.,unknown,unknown
15,2009-07-21,tuesday  ,holly bill,florida,"Victim was working under a disabled truck, disconnecting the drive shaft. The vehicle fell, crushing him.",unknown,unknown
16,2009-07-22,wednesday,siloam springs,arkansas,"Victim was repairing a tote at the end of the line. The top tote fell over, crushing the victim.",unknown,unknown
17,2009-07-22,wednesday,merrick,new york,Victim was working from the raised bucket of an aerial device. The boom and bucket fell to the ground.,unknown,unknown
18,2009-07-23,thursday ,beaumont,texas,Victim was on top of a railcar carrying elemental sulfur and was found unresponsive.,unknown,unknown
19,2009-07-24,friday   ,merrick,new york,Victim was working from a raised forklift and fell to the ground.,unknown,unknown
20,2009-05-15,friday   ,alapaha,georgia,Worker was replacing a breaker in a main panel at a saw mill and an arc blast occurred.,unknown,unknown
21,2009-07-01,wednesday,clermont,florida,Worker was putting away a piece of lawn equipment and was stung twice by insects.,unknown,unknown
22,2009-07-10,friday   ,tampa,florida,"Worker was found on the ground with hot work gloves lying next to him, apparently electrocuted.",unknown,unknown
23,2009-07-17,friday   ,armonk,new york,Worker fell from a roof.,unknown,unknown
24,2009-07-20,monday   ,harriman,tennessee,"Worker was in the process of loosening straps on a load of pipe located on a flatbed trailer. The load shifted, causing the pipe to fall and strike the worker.",unknown,unknown
25,2009-07-22,wednesday,austin,texas,"Worker was 12-feet high removing a roof truss and fell, striking his head on the front door concrete patio below.",unknown,unknown
26,2009-07-22,wednesday,chicago,illinois,Worker was working with an overhead crane and a bundle of 7-8 slabs of granite. The slabs tipped over on the worker.,unknown,unknown
27,2009-07-23,thursday ,sabine pass,texas,"Worker was on the roof of a modular home being placed on pilings. Lightning struck the roof, electrocuting the worker.",unknown,unknown
28,2009-07-23,thursday ,east windsor,new jersey,Worker was crushed in a chip grinder.,unknown,unknown
29,2009-07-24,friday   ,gibbstown,new jersey,Worker was caught between the bucket of a backhoe and a wooden deck attached to a building.,unknown,unknown
30,2009-07-25,saturday ,dayton,ohio,"Worker was working in the kitchen near the back sink. She slipped and fell in a wet spot, striking her head on the floor.",unknown,unknown
31,2009-07-26,sunday   ,deerfield beach,florida,Worker was in an aerial lift pressure washing a building and was electrocuted after the lift contacted an overhead powerline.,unknown,unknown
32,2009-07-26,sunday   ,milton,florida,Worker was electrocuted.,unknown,unknown
33,2009-07-26,sunday   ,lake forest,illinois,Worker was removing trim from a window and fell 30 feet from a ladder.,unknown,unknown
34,2009-07-27,monday   ,springtown,texas,"Worker was performing work on the forks of a forklift truck. The forks fell, striking the worker on the head.",unknown,unknown
